ازار	اِزَارْ
ورزیوں	وَرْزِیوْں
کشا	کُشَا
ترین	ترین
آزما	آَزْمَا
ینے	ینے
بوسیوں	بوسیوں
خورد	خُوْردْ
دہ	دَہْ
گوں	گُوںْ
کشائیوں	کشائیوں
ورڈ	وَرْڈْ
نگین	نَگِینْ
پاشی	پَاشِی
یل	یل
گزاری	گُزَارِی
بندیوں	بِنْدِیوْںْ
زدوں	زدوں
درازی	دَرَازِی
ریزیاں	ریزیاں
خور	خُورْ
فروش	فروش
آور	آَوَرْ
خر	خَرْ
پسندانہ	پسندانہ
دستی	دَسْتِی
چاری	چَارِی
صورت	صُورَتْ
بوسیاں	بوسیاں
ریزی	ریزی
فروشی	فروشی
یر	یر
نامی	نَامِی
طرازیاں	طَرَازِیَاںْ
خیزوں	خیزوں
فیہ	فیہ
بیں	بِیںْ
راں	راں
زدہ	زَدَہْ
گیر	گِیرْ
فہمیوں	فہمیوں
مند	مَنْدْ
آہنگیاں	آہنگیاں
آزمائی	آَزْمَائِی
نامیاں	نامیاں
یرا	یرا
بافیاں	بافیاں
پوش	پوشْ
بخود	بَخُودْ
درازیاں	دَرَازِیَاںْ
نامیوں	نَامِیوْں
مزاجیاں	مزاجیاں
گیریاں	گیریاں
فہمیاں	فہمیاں
بافیوں	بافیوں
وروں	وروں
پا	پَا
ریزیوں	ریزیوں
زادے	زادے
فرسا	فَرْسَا
وائز	وَائِزْ
گہ	گہ
پرستوں	پرستوں
سوزی	سوْزِی
گیریوں	گیریوں
زنی	زنی
شپ	شِپْ
کدوں	کَدوْں
نویسی	نَوِیْسِی
فہم	فہۡم
ریز	ریْزْ
اندیش	اَنْدیشْ
بند	بَنْدْ
نویس	نَوِیسْ
داروں	دَاروْںْ
خیز	خیزْ
ینہ	ینہ
پرستی	پرستی
نشین	نَشِینْ
ینی	یَنِی
کناں	کناں
تراش	تَرَاشْ
شعاری	شِعَارِی
اندازیوں	اندازیوں
یلوں	یلوں
کار	کَارْ
آہنگی	آَہَنْگِی
داز	داز
گھر	گھر
گار	گَارْ
آوروں	آوروں
بینوں	بَینوںْ
آزادی	آَزَادِی
سار	سَارْ
شار	شَارْ
کاری	کَارِی
کاریاں	کَارِیَاںْ
یا	یَا
سراؤں	سَرَاؤںْ
گاری	گاری
شکن	شِکَنْ
دار	دَارْ
بندیاں	بِنْدِیَاںْ
لوحی	لوحی
دانیوں	دانیوں
شعار	شِعَارْ
آمیزیاں	آمیزیاں
بافی	بافی
فلی	فلی
خوراکی	خُورَاکِی
انگیزی	انگیزی
آزاریوں	آزاریوں
زادی	زادی
رانیاں	رَانِیَاںْ
نگیں	نَگِیںْ
سرائیاں	سرائیاں
داران	دَارَانْ
گاہی	گاہی
نویسوں	نویسوں
زن	زَنْ
نشینی	نَشِینِی
پاشیاں	پاشیاں
فشانی	فِشَانِی
آگیں	آگیں
آمیزی	آَمیزِی
کرام	کَرَامْ
بازوں	بَازوْںْ
برداریاں	برداریاں
یرہ	یرہ
مندی	مَندِی
آہنگیوں	آہنگیوں
گاروں	گَاروْں
آفرینی	آفرینی
خیزی	خیزِی
پاشیوں	پاشیوں
وارانہ	وارانہ
دست	دَسْتْ
گروں	گُروْںْ
نمائی	نُمَائِی
نوازی	نَوَازِی
دارہ	دَارَہْ
دلی	دَلِی
خوانیوں	خوانیوں
نمائیاں	نمائیاں
بازی	بَازِی
آزاریاں	آزاریاں
نامے	نَامے
نوردی	نَوَرْدِی
دازی	دازی
نام	نَامْ
